Channel;VariantID;PhotoType;Sensitive
MRP;5756269973102518;in;FALSE
MRP;5756269973102518;ou;FALSE
MRP;5756269973102518;sw;FALSE
MRP;5756269973102521;bk;FALSE
MRP;5756269973102521;cu;FALSE
MRP;5756269973102521;e1;FALSE
MRP;5756269973102521;fr;FALSE
MRP;5756269973102521;in;FALSE
MRP;5756269973102521;ou;FALSE
MRP;5756269973102508;bk;FALSE
MRP;5756269973102508;cu;FALSE
MRP;5756269973102508;e1;FALSE
MRP;5756269973102508;fr;FALSE
MRP;5756269973102508;in;FALSE
MRP;5756269973102508;ou;FALSE
MRP;5756269973102528;bk;FALSE
MRP;5756269973102528;cu;FALSE
MRP;5756269973102528;e1;FALSE
MRP;5756269973102528;fr;FALSE
MRP;5756269973102528;in;FALSE
MRP;5756269973102528;ou;FALSE
MRP;5756269973102528;sw;FALSE
MRP;5756269973102529;bk;FALSE
MRP;5756269973102529;cu;FALSE
MRP;5756269973102529;e1;FALSE
MRP;5756269973102529;fr;FALSE
MRP;5756269973102529;in;FALSE
MRP;5756269973102529;ou;FALSE
MRP;5756269973102529;sw;FALSE
MRP;5756269973102510;bk;FALSE
MRP;5756269973102510;cu;FALSE
MRP;5756269973102510;e1;FALSE
MRP;5756269973102510;fr;FALSE
MRP;5756269973102510;in;FALSE
MRP;5756269973102510;ou;FALSE
MRP;5756269973102510;sw;FALSE
MRP;5756269973102499;bk;FALSE
MRP;5756269973102499;cu;FALSE
MRP;5756269973102499;e1;FALSE
MRP;5756269973102499;fr;FALSE
MRP;5756269973102499;in;FALSE
MRP;5756269973102499;ou;FALSE
MRP;5756269973102499;sw;FALSE
MRP;5756269973102503;bk;FALSE
MRP;5756269973102503;cu;FALSE
MRP;5756269973102503;e1;FALSE
MRP;5756269973102503;fr;FALSE
MRP;5756269973102503;in;FALSE
MRP;5756269973102503;ou;FALSE
MRP;5756269973102503;sw;FALSE
MRP;5756269973102509;bk;FALSE
MRP;5756269973102509;cu;FALSE
